"_key","address","name","street"
"Amazon","SanBernardino,CA92410","Amazon","2626WilkinsonCourt"
"Abercrombie","SanBernardino,CA92410","Abercrombie","4355WalnutStreet"
"Walmart","SanBernardino,CA92410","Walmart","2092LarryStreet"
"McDonalds","SanBernardino,CA92410","McDonalds","1870CaynorCircle"
"American_Apparel","SanBernardino,CA92410","American_Apparel","1381SpruceDrive"
"Just_Brew_It","SanBernardino,CA92410","Just_Brew_It","826AnmooreRoad"
"Justice","SanBernardino,CA92410","Justice","1925SpringStreet"
"Sears","SanBernardino,CA92410","Sears","4209ElsieDrive"
"Soccer_for_the_City","SanBernardino,CA92410","SoccerfortheCity","86DStreet"
"Sprint","SanBernardino,CA92410","Sprint","945KinneyStreet"
"Starbucks","SanBernardino,CA92410","Starbucks","3810AppleLane"
"Subway","SanBernardino,CA92410","Subway","3778TenmileRoad"
"Apple_Store","KansasCity,MO64105","AppleStore","349BelMeadowDrive"
"Urban_Outfitters","KansasCity,MO64105","UrbanOutfitters","99StrotherStreet"
"RadioShack","KansasCity,MO64105","RadioShack","3306DouglasDairyRoad"
"Macys","KansasCity,MO64105","Macys","2912NutterStreet"
"Paucek-Mueller","NorthAlvinshire,37333","Paucek-Mueller","208ChetStreets"
"Fahey-Lubowitz","EastTerence,48369","Fahey-Lubowitz","750EfrenMeadow"
"Stehr-Parisian","NorthTajuana,68752-5668","Stehr-Parisian","9701MarionBranch"
"Connelly-Bradtke","Bartonfort,14719-4128","Connelly-Bradtke","48414HansenLakes"
"Miller-Schultz","Brittneyshire,75777","Miller-Schultz","8638GislasonBranch"
"Ondricka-Douglas","NewMargarettport,70795-6602","Ondricka-Douglas","1041RohanCourt"
"Kshlerin-Monahan","Nolanton,77278","Kshlerin-Monahan","280JohnsonPines"
"Blick-McGlynn","Mayertborough,07290","Blick-McGlynn","5749DenaFord"
"Maggio-Bartell","EastWilly,71906-0685","Maggio-Bartell","1196MichaelTurnpike"
"Gulgowski-Schaden","Lucianoborough,91047-5065","Gulgowski-Schaden","2073WizaIslands"
"Kling-Moore","WestHelainehaven,26391","Kling-Moore","81163CarsonMills"
"Roberts-Sporer","Samuelville,54539","Roberts-Sporer","35294RosenbaumInlet"
"Stoltenberg-Breitenberg","NewJerrellbury,59561","Stoltenberg-Breitenberg","49905LockmanMission"
"Rippin-Dibbert","SouthLannyport,89341-4774","Rippin-Dibbert","2211VenettaPines"
"Morissette-Batz","NewIsmaelport,33885","Morissette-Batz","90677GrantBypass"
"Lowe-Schmidt","Welchfort,10544-0710","Lowe-Schmidt","404AltenwerthPike"
"Roob-Heller","Jamiberg,24582","Roob-Heller","5213OrtizOrchard"
"Reinger-Nikolaus","Romanmouth,35218-8806","Reinger-Nikolaus","318EmoryMountains"
"Macejkovic-Mosciski","SouthSam,89853-0028","Macejkovic-Mosciski","798CathieMountain"
"Bednar-Baumbach","Christiansenmouth,90265","Bednar-Baumbach","1218AlbertinaCliff"
"Wiza-Kirlin","WestCharla,64447","Wiza-Kirlin","86641KennaHaven"
"Vandervort-O'Reilly","SouthWeldon,02358-7382","Vandervort-O'Reilly","406WittingBridge"
"Kohler-Yundt","Geneviestad,03012","Kohler-Yundt","61041BorerHighway"
"Schneider-Schimmel","NewBennytown,86981","Schneider-Schimmel","2516LindseyDrives"
"Howe-Borer","Connellyview,41677-0774","Howe-Borer","13676GloverSquares"
"Krajcik-Watsica","NorthEdmundfort,94067-9163","Krajcik-Watsica","506PadbergInlet"
"Ruecker-Metz","Howeberg,93943","Ruecker-Metz","4935RafaelMews"
"Larson-Kreiger","WestPhung,09920","Larson-Kreiger","763MoseIslands"
"Hirthe-Collins","WestTodd,33155-1627","Hirthe-Collins","97964LuannRow"
"Hane-Hickle","Runolfsdottirshire,96353","Hane-Hickle","054PetronilaTunnel"
"Ledner-O'Hara","Rolfsonton,60854","Ledner-O'Hara","23706ThompsonHeights"
"McLaughlin-Reilly","NewCareyshire,78082-1112","McLaughlin-Reilly","07888HoustonCauseway"
"Buckridge-Casper","Essiefort,68890-3470","Buckridge-Casper","21534DietrichCommon"
"Feil-Murphy","NewAmmiefurt,13228","Feil-Murphy","4741ConnieMountain"
"Johnson-Emmerich","NorthAustinshire,89387","Johnson-Emmerich","832DustyLanding"
"McDermott-White","Hudsonfort,69068-3949","McDermott-White","88461WildermanExtensions"
"Davis-Bogisich","Deanneborough,94860","Davis-Bogisich","657HarrisMountains"
"Williamson-Schuppe","Juttamouth,62527","Williamson-Schuppe","568ShanahanParkways"
"Zulauf-Beer","EastHarold,53240-8881","Zulauf-Beer","32879CamillaRanch"
"Kunde-Rippin","LakeChestermouth,95554-8005","Kunde-Rippin","764RodolfoViaduct"
"Abshire-Ernser","NewAlvaro,41272-8014","Abshire-Ernser","5578GreenholtFords"
"Hudson-Cronin","Syreetaburgh,14547-5543","Hudson-Cronin","95795PfefferClub"
"Terry-Kunze","Schroedershire,41313-1559","Terry-Kunze","25759EvelynnIsland"
"Tremblay-Larson","Kriston,51037-6172","Tremblay-Larson","324FunkOverpass"
"Conroy-Gaylord","Marcellusview,69630","Conroy-Gaylord","377SpinkaPines"
"Thompson-Windler","WestJunieborough,22979-0512","Thompson-Windler","8276PenniRun"
"Lakin-Moen","LakeEmanuel,93517-8927","Lakin-Moen","9962ReichertHills"
"Lockman-Bruen","EastChristian,87744-9401","Lockman-Bruen","48060LindaSpring"
"Spencer-Thompson","Rupertstad,87916","Spencer-Thompson","22331PearlineUnions"
"Hamill-Muller","SouthDenniseborough,39820-6325","Hamill-Muller","137RomeoDale"
"McClure-Ritchie","WestLenny,62223","McClure-Ritchie","13074OkunevaCourts"
"Deckow-Baumbach","LakeMarianelaview,04285","Deckow-Baumbach","109FritschParkway"
"Gislason-Reilly","Reynoldstown,24955","Gislason-Reilly","457EllieSpurs"
"Hills-Welch","EastMikeberg,69461-1182","Hills-Welch","5765ArmstrongLake"
